Passenger_1_ID,Passenger_2_ID,Number_of_flights_together
701,760,15
3503,3590,14
2717,2759,14
2939,5490,13
2939,4395,12
7877,9252,12
760,763,12
701,763,12
1337,1484,12
366,374,12
2759,4316,12
1208,3093,12
2550,4441,12
4316,4373,12
4395,4399,12
3278,5423,12
1337,2867,12
3021,9522,12
2926,3590,12
975,1371,12
382,392,12
5481,5491,12
1673,4827,12
3590,6813,12
407,2511,12
4016,4059,12
733,752,11
716,724,11
4034,4046,11
6052,6100,11
3589,9258,11
7902,9369,11
1001,1023,11
4316,5491,11
1208,5789,11
3021,3090,11
366,752,11
855,10899,11
7747,9522,11
1678,2097,11
1865,1884,11
4316,5481,11
4009,4339,11
392,1849,11
816,866,11
1053,3477,11
2759,4373,11
1966,6777,11
2939,2959,11
226,624,11
772,1023,11
6418,6447,11
382,4451,11
901,2906,11
1337,1464,11
1337,1371,11
746,772,11
1818,2783,11
10541,10576,11
2939,2969,11
9752,9828,11
360,1029,11
4451,7560,11
288,1343,11
382,7560,11
1046,4552,11
6113,8679,11
1666,1696,11
755,771,11
4200,6205,11
2068,7810,11
928,975,11
1733,6507,11
5544,5546,11
2959,2969,11
5443,5481,11
2717,4316,11
7866,7872,11
4025,4053,11
4541,7162,11
7810,9069,11
4011,4044,11
4607,4674,11
5443,5491,11
3735,7685,11
739,752,10
1484,2867,10
2759,5491,10
3418,6813,10
1378,2489,10
2511,2867,10
701,751,10
928,1337,10
3503,6813,10
606,3169,10
5911,5989,10
10016,10083,10
2231,5522,10
3278,8158,10
2759,5443,10
8562,8584,10
928,2511,10
5464,5478,10
1484,2511,10
2857,2926,10
2905,2988,10
975,1337,10
8363,10368,10
751,760,10
3356,6805,10
6522,6548,10
3223,8257,10
8596,8679,10
733,739,10
3278,7039,10
4249,6447,10
4009,4083,10
1677,7605,10
2939,4399,10
374,752,10
5440,5491,10
4339,5414,10
5744,5798,10
274,275,10
392,9066,10
5505,5566,10
751,763,10
11046,11074,10
6084,8961,10
975,5423,10
2759,5481,10
75,11296,10
10767,11871,10
362,368,10
1337,1955,10
4056,8363,10
9069,9098,10
2776,2857,10
3466,9742,10
4388,4399,10
5481,5494,10
477,3120,10
624,670,10
3418,3590,10
1677,4249,10
7662,7866,10
1772,7327,10
4682,4700,10
2294,4969,10
5966,5977,10
3418,4249,10
5423,8158,10
5101,5111,10
4388,4395,10
3590,4249,10
5792,5946,10
1849,9066,10
4012,4080,10
374,739,10
4774,6560,10
4260,4294,10
5789,6813,10
1865,2773,10
5482,8190,10
5443,5500,10
859,10478,10
701,1095,10
2201,8679,10
928,1371,10
1041,2489,10
8260,8262,10
4316,5443,10
1884,2773,10
1635,1677,10
1447,2550,10
4395,5490,10
2068,2408,10
3180,4483,10
1822,1849,10
716,760,10
9258,9282,10
2223,2441,10
1464,1666,10
5491,5494,10
12323,13221,10
1208,6813,10
1041,1378,10
760,1095,10
10716,10767,10
1447,4441,10
1677,3590,10
5440,5481,10
2926,3503,10
1884,4607,10
5494,5500,10
4249,6813,10
4609,4656,10
5440,5500,10
92,3802,10
1064,7579,10
3896,5375,10
5481,5500,10
3847,3865,10
1464,1696,10
5440,5443,10
1337,2939,10
2681,2697,10
3544,3576,10
4009,4012,10
5491,5500,10
391,1662,10
2926,6813,10
2476,2489,10
5596,6418,10
2960,4850,10
1677,6813,10
5443,5494,10
2201,8596,10
4012,4083,10
10702,10719,10
5440,5494,10
763,1095,9
746,1001,9
4165,9049,9
3021,7747,9
4009,4080,9
4171,6208,9
3677,11275,9
6548,10083,9
8562,8596,9
975,2939,9
1666,2789,9
752,760,9
928,2959,9
2857,3093,9
3503,7872,9
724,1053,9
1208,2886,9
3418,6447,9
5706,5720,9
4675,4917,9
6560,8262,9
2097,9828,9
10067,12323,9
368,1023,9
2501,2556,9
5706,5744,9
3421,3477,9
1371,2511,9
5912,5978,9
3002,3028,9
928,1484,9
3590,7872,9
6447,8411,9
4316,4395,9
211,8961,9
6180,8519,9
4147,8084,9
4013,4059,9
1337,2969,9
1034,1616,9
1246,1831,9
625,1677,9
167,7162,9
5867,8045,9
2588,12323,9
4774,8260,9
746,763,9
928,2969,9
901,2857,9
756,4384,9
10313,10396,9
724,763,9
364,1001,9
3527,3937,9
3858,4522,9
3590,7866,9
9540,13221,9
1023,1095,9
4009,4399,9
2886,5989,9
8007,8089,9
3503,7866,9
1715,4820,9
1678,9828,9
9540,10067,9
724,740,9
740,772,9
1371,1484,9
5731,5743,9
288,1678,9
7643,8590,9
740,746,9
4042,4388,9
4044,4080,9
4316,4388,9
2789,5401,9
7605,7685,9
2509,4609,9
975,2959,9
2773,4607,9
2717,5481,9
1337,2511,9
5744,5771,9
724,746,9
1041,1064,9
5522,7209,9
975,1484,9
4774,8262,9
4009,5426,9
2294,3576,9
1078,6003,9
2857,8158,9
2857,3590,9
4011,4083,9
7605,8190,9
3078,9271,9
3090,9522,9
8326,8961,9
740,763,9
4339,4395,9
4552,6089,9
1715,5522,9
4903,4988,9
2482,3278,9
1208,1677,9
979,1351,9
1865,4674,9
724,760,9
407,2959,9
4451,10702,9
5761,5788,9
479,8596,9
4009,4044,9
309,385,9
1677,8190,9
2068,3802,9
5456,5490,9
3527,3963,9
4316,4399,9
1715,2231,9
184,1817,9
5744,5769,9
5481,6017,9
2717,2867,9
4969,4990,9
7243,8007,9
740,751,9
6017,6064,9
1351,1377,9
4042,4399,9
3292,4550,9
1371,2959,9
4827,11225,9
2479,10023,9
13657,13668,9
2759,5440,9
7685,8289,9
368,1001,9
1666,4044,9
1678,9752,9
4468,5509,9
5198,8979,9
716,763,9
7898,9066,9
407,2759,9
4404,7636,9
139,3889,9
928,4025,9
5414,5426,9
4316,5494,9
746,751,9
772,1001,9
1332,2905,9
901,2776,9
10322,10334,9
2117,2174,9
603,649,9
247,3188,9
1337,2959,9
419,2488,9
1228,1287,9
8006,8036,9
4451,10719,9
366,733,9
286,292,9
928,2939,9
2759,2867,9
1696,2789,9
4011,4012,9
443,2560,9
5530,7677,9
950,959,9
3913,3924,9
915,930,9
4066,4080,9
1371,2939,9
2886,5490,9
4820,5522,9
4467,4496,9
1484,2759,9
716,740,9
701,724,9
2988,4344,9
2776,2783,9
11175,11180,9
230,271,9
3021,3078,9
2776,2906,9
1208,3590,9
7747,8596,9
1464,2789,9
724,751,9
364,1023,9
407,2969,9
10702,10764,9
2511,2717,9
2511,4025,9
4316,5440,9
1371,2969,9
5716,5731,9
3093,5789,9
1677,5482,9
1007,1038,9
928,2867,9
167,855,9
9063,11275,9
4042,4395,9
5706,5761,9
1646,1677,9
10203,10234,9
3920,3937,9
959,997,9
1023,1053,9
701,746,9
950,997,9
4012,4044,9
407,928,9
4841,4881,9
7820,7866,9
7679,9659,9
288,2097,9
308,313,9
1865,4607,9
716,761,9
5482,7605,9
4389,8078,9
928,4053,9
7605,7662,9
3802,7810,9
2201,6113,9
4364,5016,9
230,264,9
2857,6813,9
9014,9066,9
8290,10350,9
11276,11296,9
1371,2867,9
701,716,9
1053,1095,9
4339,4399,9
950,2734,9
2857,6707,9
6113,8596,9
2440,2486,9
1677,2857,9
1884,4674,9
4942,4969,9
248,2576,9
4083,4339,9
920,2437,9
10716,10785,9
205,255,9
5787,5795,9
3361,11276,9
751,772,9
2926,6707,9
211,6084,9
763,795,9
701,740,9
1966,3361,9
10440,10446,9
241,2117,9
1733,5869,9
3590,5789,9
716,1053,9
4009,4011,9
1677,3278,9
4827,9252,9
4044,4066,9
8037,8068,9
746,1023,9
1046,1651,9
5490,6020,9
4942,4990,9
10067,13221,9
4042,4316,9
394,468,9
2062,2075,9
4066,4083,9
2509,4656,9
4178,8121,9
248,275,9
727,752,9
2294,3544,9
3576,4674,9
7721,10067,9
407,1484,9
2964,8810,9
4080,4083,9
760,772,9
441,1646,9
5771,5798,9
3093,6813,9
4042,4053,9
3735,8289,9
7685,8353,9
